"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Trevor Siemian",5100,"KC@Den 08:30PM ET",14.291,"Den"
"QB","Ryan Fitzpatrick",5100,"NE@NYJ 04:25PM ET",12.502,"NYJ"
"QB","Scott Tolzien",5000,"Pit@Ind 08:30PM ET",0,"Ind"
"QB","Landry Jones",5000,"Pit@Ind 08:30PM ET",2.788,"Pit"
"QB","Zach Mettenberger",5000,"Pit@Ind 08:30PM ET",0.000,"Pit"
"QB","Matt Cassel",5000,"Ten@Chi 01:00PM ET",0.167,"Ten"
"QB","Matt Barkley",5000,"Ten@Chi 01:00PM ET",1.140,"Chi"
"QB","Chad Henne",5000,"Jax@Buf 01:00PM ET",-0.200,"Jax"
"QB","EJ Manuel",5000,"Jax@Buf 01:00PM ET",1.275,"Buf"
"QB","Brandon Allen",5000,"Jax@Buf 01:00PM ET",0,"Jax"
"QB","Cardale Jones",5000,"Jax@Buf 01:00PM ET",0,"Buf"
"WR","Sammy Watkins",5000,"Jax@Buf 01:00PM ET",6.150,"Buf"
"QB","Ryan Mallett",5000,"Cin@Bal 01:00PM ET",0.030,"Bal"
"QB","AJ McCarron",5000,"Cin@Bal 01:00PM ET",0.000,"Cin"
"QB","Jeff Driskel",5000,"Cin@Bal 01:00PM ET",0,"Cin"
"QB","Drew Stanton",5000,"Ari@Atl 01:00PM ET",3.265,"Ari"
"QB","Matt Schaub",5000,"Ari@Atl 01:00PM ET",-0.100,"Atl"
"QB","Josh McCown",5000,"NYG@Cle 01:00PM ET",12.555,"Cle"
"QB","Josh Johnson",5000,"NYG@Cle 01:00PM ET",0,"NYG"
"QB","Robert Griffin III",5000,"NYG@Cle 01:00PM ET",10.300,"Cle"
"QB","Ryan Nassib",5000,"NYG@Cle 01:00PM ET",0,"NYG"
"QB","Cody Kessler",5000,"NYG@Cle 01:00PM ET",10.320,"Cle"
"QB","Kevin Hogan",5000,"NYG@Cle 01:00PM ET",7.220,"Cle"
"QB","Joe Callahan",5000,"NYG@Cle 01:00PM ET",0,"Cle"
"QB","Luke McCown",5000,"LA@NO 01:00PM ET",0,"NO"
"QB","Case Keenum",5000,"LA@NO 01:00PM ET",12.486,"LA"
"QB","Sean Mannion",5000,"LA@NO 01:00PM ET",0.000,"LA"
"RB","Mark Ingram",5000,"LA@NO 01:00PM ET",14.220,"NO"
"QB","Matt Moore",5000,"SF@Mia 01:00PM ET",0.000,"Mia"
"QB","Christian Ponder",5000,"SF@Mia 01:00PM ET",0,"SF"
"QB","Blaine Gabbert",5000,"SF@Mia 01:00PM ET",15.640,"SF"
"QB","Kellen Clemens",5000,"SD@Hou 01:00PM ET",-0.017,"SD"
"QB","Brandon Weeden",5000,"SD@Hou 01:00PM ET",0,"Hou"
"QB","Tom Savage",5000,"SD@Hou 01:00PM ET",0,"Hou"
